time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
2.8703,-0.035849,0.359433,-0.175113,-0.363585,0.334270,-0.083275,-0.985620,1.929709,-0.306009,-0.180793,-0.140888,0.175458,-0.629165,0.094182,0.294362,-0.463483,0.866142,-0.466857
2.9037,0.035342,0.391564,-0.140210,-0.388166,0.299665,-0.119896,-1.039314,1.790308,-0.286466,-0.206425,-0.165234,0.194987,-0.679624,0.052710,0.317539,-0.362460,0.813401,-0.487549
2.9371,0.103993,0.416754,-0.089971,-0.418748,0.267554,-0.148728,-1.055145,1.594045,-0.256592,-0.229784,-0.192206,0.215631,-0.726677,0.007166,0.341810,-0.264059,0.762930,-0.506753
2.9704,0.154361,0.434090,-0.052217,-0.434754,0.233782,-0.207229,-1.032884,1.324821,-0.211603,-0.254469,-0.220004,0.232672,-0.767737,-0.036622,0.363228,-0.174712,0.697012,-0.509931
3.0038,0.198971,0.439523,-0.003069,-0.449228,0.187834,-0.326174,-0.955408,0.981111,-0.151894,-0.280638,-0.251470,0.246311,-0.797307,-0.087379,0.378117,-0.093313,0.629457,-0.515466
3.0372,0.221541,0.452322,0.037996,-0.447578,0.141678,-0.460217,-0.873124,0.601736,-0.083016,-0.301744,-0.266649,0.242338,-0.825746,-0.115140,0.411677,-0.030188,0.560613,-0.502870
3.0706,0.222271,0.481130,0.052710,-0.437380,0.111441,-0.521642,-0.958834,0.557813,-0.129021,-0.308467,-0.274099,0.234070,-0.844501,-0.124589,0.451190,-0.011565,0.606162,-0.538935
3.1039,0.251556,0.452087,0.107419,-0.422549,0.083101,-0.536298,-0.728764,0.104935,0.047282,-0.325627,-0.275249,0.228516,-0.843656,-0.162690,0.454264,0.047671,0.569258,-0.514554
3.1373,0.252335,0.438463,0.130771,-0.407242,0.109430,-0.514583,-0.671286,0.086540,0.086042,-0.316174,-0.272557,0.213274,-0.846192,-0.190390,0.452928,0.067887,0.629756,-0.513396
3.1707,0.259326,0.410548,0.143958,-0.382751,0.129422,-0.504219,-0.598944,0.088979,0.084748,-0.285276,-0.266639,0.203325,-0.832699,-0.236637,0.431294,0.086061,0.729736,-0.479670
3.2041,0.252132,0.375424,0.135706,-0.356379,0.151640,-0.484130,-0.514884,0.117872,0.077503,-0.233878,-0.256747,0.184916,-0.803488,-0.278398,0.388886,0.057984,0.896939,-0.386411
3.2375,0.229400,0.330460,0.088120,-0.328124,0.168489,-0.477332,-0.411125,0.162982,0.014697,-0.170427,-0.251875,0.168169,-0.754946,-0.310652,0.311033,-0.052018,1.167089,-0.281493
3.2708,0.175487,0.287175,0.017234,-0.316666,0.157906,-0.493492,-0.350251,0.227582,-0.066364,-0.122382,-0.263245,0.158753,-0.689304,-0.303656,0.215696,-0.245228,1.468088,-0.177135
3.3042,0.085531,0.258381,-0.075643,-0.314346,0.134774,-0.507815,-0.349697,0.283632,-0.123616,-0.105620,-0.267949,0.154218,-0.619245,-0.259679,0.149324,-0.481033,1.715417,-0.145707
3.3376,-0.004572,0.251041,-0.133611,-0.344756,0.132294,-0.490007,-0.320500,0.285854,-0.154381,-0.058491,-0.258155,0.136676,-0.593277,-0.194665,0.119375,-0.643244,1.836432,-0.171098
3.3710,-0.104363,0.235301,-0.249034,-0.357522,0.121906,-0.481212,-0.256746,0.260054,-0.171709,0.007681,-0.259446,0.119357,-0.578366,-0.161724,0.093185,-0.767190,1.894587,-0.175998
3.4043,-0.208792,0.200876,-0.306136,-0.387215,0.085274,-0.473704,-0.230191,0.289233,-0.201989,0.076237,-0.275628,0.098022,-0.570701,-0.154284,0.056204,-0.881240,1.911582,-0.182332
3.4377,-0.300711,0.174841,-0.369136,-0.420436,0.066817,-0.456761,-0.229359,0.365788,-0.254257,0.137285,-0.282441,0.084665,-0.559614,-0.117452,0.006107,-0.965647,1.865261,-0.197791
